Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Sphere-2d,random,StandardABC,2.3691600548240827e-17,2.0739944241315714e-17,1.5207100225477663e-17,1.4387802329161334e-18,8.091786636833194e-17
Sphere-2d,cahotic,StandardABC,6.247673870789592e-17,3.1188472297439426e-17,5.916001759179834e-17,6.497911460418383e-18,1.0307368835017727e-16
Sphere-2d,random,ModifiedABC,5.0169858200404944e-17,3.3326877766259364e-17,4.083173885139691e-17,5.852592351342187e-19,1.096874390252429e-16
Sphere-2d,cahotic,ModifiedABC,3.821659561505553e-17,2.3719350716077128e-17,3.705793907004745e-17,4.216541525674299e-18,8.57415101951856e-17
Sphere-2d,random,ABC/best/1,5.629944244977286e-17,2.8098443291300014e-17,4.471300498554563e-17,1.693848280035154e-17,1.0991343623174109e-16
Sphere-2d,cahotic,ABC/best/1,5.678899476093363e-17,3.2939551679137534e-17,5.705838720631501e-17,5.065573260018192e-19,1.0804724667009063e-16
Sphere-2d,random,ABC/best/2,6.639905765130515e-17,3.000558260894022e-17,6.294018411700523e-17,1.1936024889440314e-17,1.0806028668953504e-16
Sphere-2d,cahotic,ABC/best/2,6.410349210023194e-17,2.898971525676678e-17,6.888039181625721e-17,8.650859536172278e-18,1.1045180304993453e-16
Sphere-2d,random,DirectedABC,5.048846272140892e-17,2.959167639679259e-17,4.138254213393437e-17,1.3194304001031887e-17,1.0232563250047083e-16
Sphere-2d,cahotic,DirectedABC,5.800051781307975e-17,1.9452874412603388e-17,6.086250615975428e-17,2.4022581222994306e-17,8.763824251536752e-17
Rosenbrock-2d,random,StandardABC,0.03524223920913848,0.03588540400332675,0.019116470513713697,0.001209338130020187,0.11847334185708738
Rosenbrock-2d,cahotic,StandardABC,0.0015745154868254735,0.0026466987168453494,0.0004926687563689427,5.107668074458727e-07,0.011018224446705598
Rosenbrock-2d,random,ModifiedABC,2.2688302582597697e-13,4.673805551988714e-13,2.8703103105603134e-14,2.1866128349074545e-16,1.7660097681782796e-12
Rosenbrock-2d,cahotic,ModifiedABC,5.601526781058012e-13,8.55222992126436e-13,3.402849085288096e-13,3.772594716194113e-15,3.4580961768681892e-12
Rosenbrock-2d,random,ABC/best/1,1.052285994238599e-16,1.7398594250876867e-16,6.165277537231802e-17,8.645894165283401e-18,7.477147755250173e-16
Rosenbrock-2d,cahotic,ABC/best/1,0.00010168348883959965,0.0001700752401918448,5.585305538500249e-05,1.6532792095212952e-06,0.0006786665681112655
Rosenbrock-2d,random,ABC/best/2,4.236883416026216e-05,4.182320429131585e-05,1.605260091206107e-05,1.756409160329079e-06,0.00014125606099111592
Rosenbrock-2d,cahotic,ABC/best/2,0.0016535938802438581,0.0023019426835828847,0.0006066184026048841,7.1566365939133136e-06,0.009020653062598227
Rosenbrock-2d,random,DirectedABC,0.042006916542664315,0.04756119052061297,0.011334788554201594,6.082230491472006e-05,0.1207398689482137
Rosenbrock-2d,cahotic,DirectedABC,0.0005558354494856816,0.0005337874743497195,0.0003284712656248446,2.7377197126969857e-05,0.0017610434834098685
Ackley-2d,random,StandardABC,0.0,0.0,0.0,0.0,0.0
